compound	compound_desc
C01222	GDP-4-dehydro-6-deoxy-D-mannose; GDP-4-dehydro-6-deoxy-D-talose; GDP-4-oxo-6-deoxy-D-mannose; GDP-4-dehydro-D-rhamnose; GDP-4-keto-6-deoxy-D-mannose; GDP-4-dehydro-alpha-D-rhamnose; GDP-4-dehydro-6-deoxy-alpha-D-mannose
C01226	12-OPDA; (15Z)-12-Oxophyto-10,15-dienoate; (15Z)-12-Oxophyto-10,15-dienoic acid; 9(S),13(S)-12-Oxo-PDA; 12-Oxo-10,15(Z)-phytodienoic acid
C01227	Dehydroepiandrosterone; 3beta-Hydroxyandrost-5-en-17-one; Dehydroisoandrosterone; DHA; DHEA
C01228	Guanosine 3',5'-bis(diphosphate); Guanosine 3'-diphosphate 5'-diphosphate; Guanosine 5'-diphosphate,3'-diphosphate
C01230	all-trans-Hexaprenyl diphosphate
C01231	alpha-D-Glucose 1,6-bisphosphate; alpha-D-Glucose 1,6-biphosphate; D-Glucose 1,6-bisphosphate
C01233	sn-Glycero-3-phosphoethanolamine; Glycerophosphoethanolamine
C01234	1-Aminocyclopropane-1-carboxylate; 1-Aminocyclopropane-1-carboxylic acid
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol; O-alpha-D-Galactosyl-(1->3)-1D-myo-inositol; 3-O-alpha-D-Galactosyl-1D-myo-inositol; 1-alpha-D-Galactosyl-myo-inositol; Galactinol
C01236	D-Glucono-1,5-lactone 6-phosphate; 6-Phospho-D-glucono-1,5-lactone
C01241	Phosphatidyl-N-methylethanolamine
C01242	[Protein]-S8-aminomethyldihydrolipoyllysine; H-protein-S-aminomethyldihydrolipoyllysine; S-Aminomethyldihydrolipoylprotein; [Glycine-cleavage complex H protein]-S-aminomethyl-N6-dihydrolipoyl-L-lysine
C01243	1D-myo-Inositol 1,3,4-trisphosphate; D-myo-Inositol 1,3,4-trisphosphate; Inositol 1,3,4-trisphosphate
C01245	D-myo-Inositol 1,4,5-trisphosphate; 1D-myo-Inositol 1,4,5-trisphosphate; Inositol 1,4,5-trisphosphate; Ins(1,4,5)P3
C01246	Dolichyl beta-D-glucosyl phosphate
C01249	7,8-Dihydro-7,8-dihydroxykynurenate
C01250	N-Acetyl-L-glutamate 5-semialdehyde; 2-Acetamido-5-oxopentanoate
C01251	(R)-2-Hydroxybutane-1,2,4-tricarboxylate; Homocitrate; Homocitric acid; 3-Hydroxy-3-carboxyadipic acid; (R)-2-Hydroxy-1,2,4-butanetricarboxylic acid
C01252	4-(2-Aminophenyl)-2,4-dioxobutanoate
C01259	(3S)-3-Hydroxy-N6,N6,N6-trimethyl-L-lysine
C01260	P1,P4-Bis(5'-adenosyl)tetraphosphate; AppppA
C01261	P1,P4-Bis(5'-guanosyl) tetraphosphate; GppppG; Bis(5'-guanosyl) tetraphosphate
C01262	beta-Alanyl-N(pi)-methyl-L-histidine; Anserine
C01264	2-Acetyl-1-alkyl-sn-glycero-3-phosphate
C01267	3-(Imidazol-4-yl)-2-oxopropyl phosphate; Imidazole-acetol phosphate
C01268	5-Amino-6-(5'-phosphoribosylamino)uracil; 5-Amino-6-(ribosylamino)-2,4-(1H,3H)-pyrimidinedione 5'-phosphate; 5-Amino-6-(5-phosphoribosylamino)uracil
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate; O5-(1-Carboxyvinyl)-3-phosphoshikimate
C01270	3-Hydroxy-2-methylpyridine-5-carboxylate
C01271	(3R)-3-Hydroxyacyl-[acyl-carrier protein]; (R)-3-Hydroxyacyl-[acyl-carrier protein]
C01272	1D-myo-Inositol 1,3,4,5-tetrakisphosphate; D-myo-Inositol 1,3,4,5-tetrakisphosphate; Inositol 1,3,4,5-tetrakisphosphate
C01274	5-Formyl-5,6,7,8-tetrahydromethanopterin; 5-Formyl-H4MPT
C01277	1-Phosphatidyl-1D-myo-inositol 4-phosphate; Phosphatidylinositol 4-phosphate; 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-4'-phosphate)
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine; Toxopyrimidine; 4-Amino-2-methyl-5-pyrimidinemethanol; HMP
C01284	1D-myo-Inositol 1,3,4,5,6-pentakisphosphate; D-myo-Inositol 1,3,4,5,6-pentakisphosphate; Inositol 1,3,4,5,6-pentakisphosphate
C01286	2-Dehydro-3-deoxy-6-phospho-D-galactonate; 2-Dehydro-3-deoxy-D-galactonate 6-phosphate
C01290	Lactosylceramide; beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide; beta-D-Galactosyl-1,4-beta-D-glucosylceramide; Gal-beta1->4Glc-beta1->1'Cer; LacCer; Lactosyl-N-acylsphingosine; D-Galactosyl-1,4-beta-D-glucosylceramide
C01297	6-Hydroxypseudooxynicotine; 1-(6-Hydroxypyridin-3-yl)-4-(methylamino)butan-1-one
C01300	6-(Hydroxymethyl)-7,8-dihydropterin; 6-Hydroxymethyl-7,8-dihydropterin; 2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine
C01301	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one; 2,5-Diamino-6-(1-D-ribosylamino)pyrimidin-4(3H)-one 5'-phosphate
C01312	Prostaglandin I2; (5Z,13E)-(15S)-6,9alpha-Epoxy-11alpha,15-dihydroxyprosta-5,13-dienoate; Prostacyclin; PGI2; Epoprostenol
C01322	RX; Organic halide
C01327	Hydrochloric acid; HCl; Hydrogen chloride; Hydrochloride
C01330	Sodium cation; Na+; Sodium(1+); Sodium ion
C01342	NH4+; Ammonia ion; Ammonium(1+)
C01344	dIDP; 2'-Deoxyinosine-5'-diphosphate; 2'-Deoxyinosine 5'-diphosphate
C01345	dITP; 2'-Deoxyinosine-5'-triphosphate; 2'-Deoxyinosine 5'-triphosphate
C01346	dUDP; 2'-Deoxyuridine 5'-diphosphate
C01352	FADH2
C01353	Carbonic acid; Dihydrogen carbonate; H2CO3
C01355	Fructan; beta-D-Fructan
C01358	NH4OH; Ammonium hydroxide
C01367	3'-AMP; 3'-Adenylic acid; 3'-Adenosine monophosphate; Adenosine-3'-monophosphate; Adenosine 3'-phosphate; AMP 3'-phosphate
C01368	3'-UMP; Uridine 3'-monophosphate; Uridine 3'-phosphate
C01371	Alkane; RH
C01380	Ethylene glycol; 1,2-Ethanediol; Ethane-1,2-diol
C01382	Iodine; I2; Diiodine
C01384	Maleic acid; Maleate; cis-Butenedioic acid
C01412	Butanal; Butyraldehyde
C01417	Cyanate; Cyanic acid
C01419	Cys-Gly; L-Cysteinylglycine
C01438	Methane; CH4
C01441	Neamine; Neomycin A
C01444	Oxamate; Oxamic acid; Oxalic monoamide
C01451	Salicin; Salicoside
C01471	Acrolein; Acrylaldehyde; Acrylic aldehyde; Propenal
C01487	D-Allose
C01490	Dermatan; Dermatan L-iduronate
C01498	Gelatine; Gelatin
C01508	L-Lyxose
C01516	Morphine
C01528	Hydrogen selenide; Selenide
C01530	Octadecanoic acid; Stearate; Stearic acid
C01555	Apramycin
C01558	Bile salt; Bile acid
C01561	Calcidiol; 25-Hydroxyvitamin D3; Calcifediol; Calcifediol anhydrous; (3S,5Z,7E)-9,10-Seco-5,7,10(19)-cholestatriene-3,25-diol
C01563	Carbamate; Carbamic acid; Aminoformic acid
C01571	Decanoic acid; Decanoate; Decylic acid; n-Capric acid
C01575	Ephedrine; (-)-(1R,2S)-ephedrine; (-)-Ephedrine; L-Ephedrine
C01586	Hippurate; Hippuric acid; N-Benzoylglycine; Benzoylaminoacetic acid
C01595	Linoleate; Linoleic acid; (9Z,12Z)-Octadecadienoic acid; 9-cis,12-cis-Octadecadienoate; 9-cis,12-cis-Octadecadienoic acid
C01596	Maleamate; Maleamic acid
C01598	Melatonin; N-Acetyl-5-methoxytryptamine
C01606	Phthalate; o-Phthalic acid; 1,2-Benzenedicarboxylic acid
C01613	Stachyose
C01620	Threonate; L-Threonate; (2R,3S)-2,3,4-Trihydroxybutanoic acid
C01623	UDP-apiose; UDP-D-apiose; UDP-alpha-D-apiose
C01630	Xylobiose
C01647	tRNA(Met)
C01667	Bacitracin
C01672	Cadaverine; 1,5-Pentanediamine; 1,5-Diaminopentane; Pentamethylenediamine
C01673	Calcitriol; 1alpha,25-Dihydroxyvitamin D3; (1S,3R,5Z,7E)-9,10-Seco-5,7,10(19)-cholestatriene-1,3,25-triol
C01674	Chitobiose; Diacetylchitobiose; N,N'-Diacetylchitobiose
C01678	Cysteamine; 2-Aminoethanethiol; beta-Aminoethanethiol; beta-Mercaptoethylamine; Mercaptamine; Thioethanolamine
C01682	Nopaline; D-Nopaline; N2-(D-1,3-Dicarboxypropyl)-L-arginine; N-[(1S)-4-Carbamimidamido-1-carboxybutyl]-D-glutamic acid
C01684	D-Rhamnose; 6-Deoxy-D-mannose; D-Mannomethylose
C01693	L-Dopachrome; 2-L-Carboxy-2,3-dihydroindole-5,6-quinone
C01694	Ergosterol; Provitamin D2
C01697	Galactitol; Dulcitol; Dulcose
C01708	Hemoglobin
C01717	4-Hydroxy-2-quinolinecarboxylic acid; Kynurenic acid; Kynurenate
C01720	L-Fuconate
C01721	L-Fuculose; 6-Deoxy-L-tagatose
C01724	Lanosterol; 4,4',14alpha-Trimethyl-5alpha-cholesta-8,24-dien-3beta-ol
C01725	Levanbiose
C01726	D-Lombricine
C01727	Lumichrome; 7,8-Dimethylalloxazine
C01732	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid; (E)-2-Methyl-2-butenedioic acid
C01737	Neomycin B; Fradiomycin B; Framycetin
C01743	Paromamine; Neomycin D
C01747	Psychosine; Galactosylsphingosine; O-Galactosylsphingosine
C01753	beta-Sitosterol; Sitosterol
C01759	Ribostamycin; Vistamycin
C01762	Xanthosine
C01768	(Alginate)n; (Alginate)n+1; Alginate; Alginic acid
C01769	(S)-Acetoin; (S)-2-Acetoin
C01772	trans-2-Hydroxycinnamate; trans-2-Hydroxycinnamic acid; 2-Hydroxycinnamate; 2-Coumaric acid; o-Coumaric acid; 2-Coumarate
C01780	Aldosterone; 11beta,21-Dihydroxy-3,20-dioxo-4-pregnen-18-al
C01788	CDP-abequose; CDP-alpha-D-abequose
C01789	Campesterol
C01794	Choloyl-CoA; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanoyl-CoA; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholan-24-one-CoA
C01801	Deoxyribose; 2-Deoxy-D-erythro-pentose; Thyminose; 2-Deoxy-D-ribose
C01802	Desmosterol; 24-Dehydrocholesterol; Cholesta-5,24-dien-3beta-ol
C01817	L-Homocystine; Homocystine
C01822	Kanamycin A
C01823	Kanamycin C
C01825	L-Galactose
C01829	Thyroxine; Levothyroxin; L-Thyroxine; O-(4-Hydroxy-3,5-diidophenyl)-3,5-diiodo-L-tyrosine; 3,5,3'5'-Tetraiodo-L-thyronine; T4
C01832	Lauroyl-CoA; Lauroyl coenzyme A; Dodecanoyl-CoA
C01834	Lipoprotein
C01835	Maltotriose; Amylotriose
C01845	Propan-2-ol; 2-Propanol; Isopropanol; Isopropyl alcohol
C01847	Reduced FMN; FMNH2
C01850	Rosmarinate; Rosmarinic acid
C01861	Trithionate; (O3S.S.SO3)2-
C01877	4-Oxoproline; 4-Oxo-L-proline
C01879	5-Oxoproline; Pidolic acid; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid
C01885	1-Acylglycerol; Glyceride; Monoglyceride; Monoacylglycerol; 1-Monoacylglycerol
C01888	Aminoacetone; 1-Amino-2-propanone
C01894	Biotinyl-CoA
C01898	Cellodextrin; Cellooligosaccharide
C01902	Cycloartenol; 9beta,19-Cyclo-24-lanosten-3beta-ol
C01904	D-Arabitol; D-Arabinitol; D-Arabinol; D-Lyxitol
C01909	Dethiobiotin; Desthiobiotin
C01917	Gentamicin A
C01921	Glycocholate; Glycocholic acid; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholan-24-oylglycine
C01929	L-Histidinal
C01931	L-Lysyl-tRNA; L-Lysyl-tRNA(Lys)
C01934	L-Rhamnonate; 6-Deoxy-L-mannonic acid
C01935	Maltodextrin; Maltodextrin(n); Maltodextrin(n-2); n+2 Maltodextrin; Linear maltodextrin; Maltooligosaccharide
C01943	Obtusifoliol; 4alpha,14alpha-Dimethyl-5alpha-ergosta-8,24(28)-dien-3beta-ol; 4alpha,14alpha-Dimethyl-24-methylene-5alpha-cholesta-8-en-3beta-ol
C01944	Octanoyl-CoA
C01946	Oleandomycin; Amimycin; Landomycin; Matromycin; Romicil
C01953	Pregnenolone; 5-Pregnen-3beta-ol-20-one; 3beta-Hydroxypregn-5-en-20-one
C01959	Taurocyamine
C01962	Thiocysteine; S-Mercapto-L-cysteine; L-Thiocysteine
C01987	2-Aminophenol; 2-Hydroxyaniline; 2-Aminobenzenol; o-Aminophenol
C01989	3-Ethylmalate
C01990	3-Oxalomalate; 3-Oxalomalic acid
C01996	Acetylcholine; O-Acetylcholine
C02033	Gentamicin C2
C02041	Eicosanoyl-CoA; Icosanoyl-CoA; Arachidoyl-CoA
C02047	L-Leucyl-tRNA; L-Leucyl-tRNA(Leu)
C02049	Limit dextrin; alpha- and beta-Limit dextrin
C02050	Linoleoyl-CoA; (9Z,12Z)-Octadecadienoyl-CoA
C02051	Lipoylprotein; H-Protein-lipoyllysine; [GCSH]-N6-lipoyl-L-lysine; [GcvH]-N6-lipoyl-L-lysine; [Glycine cleavage system H]-N6-lipoyl-L-lysine; [Glycine-cleavage complex H protein]-N6-lipoyl-L-lysine
C02059	Phylloquinone; Vitamin K1; Phytonadione; 2-Methyl-3-phytyl-1,4-naphthoquinone
C02067	Pseudouridine
C02075	Retinyl ester; all-trans-Retinyl ester
C02084	Tetrathionate; Tetrathionic acid
C02090	Trypanothione; N1,N8-Bis(gamma-L-glutamyl-L-cysteinyl-glycyl)spermidine; N1,N8-Bis(glutathionyl)spermidine; Reduced trypanothione
C02091	(S)-Ureidoglycine
C02094	beta-Carotene; all-trans-beta-Carotene
C02110	11-cis-Retinal; 11-cis-Vitamin A aldehyde; 11-cis-Retinene
C02112	2-Acylglycerol; 2-Glyceride; 2-Monoacylglycerol
C02123	3-Propylmalate
C02133	Acyl phosphate
C02135	Angiotensin II; Angiotensin; Angiotonin; Hypertensin
C02137	alpha-Oxo-benzeneacetic acid; Benzoylformate; Benzoylformic acid; Phenylglyoxylic acid; Phenylglyoxylate; 2-Oxo-2-phenylacetate
C02139	Chlorophyllide; Chlorophyllide a
C02140	Corticosterone; 11beta,21-Dihydroxy-4-pregnene-3,20-dione; Kendall's compound B; Reichstein's substance H
C02141	Cycloeucalenol
C02147	Dihydrolipoate; Dihydrolipoic acid; Dihydrothioctic acid
C02153	Glucotropaeolin; Glucotropeolin; Benzyl glucosinolate
C02161	2-Aminophenoxazin-3-one; 3-Aminophenoxazone; Isophenoxazine
C02163	L-Arginyl-tRNA(Arg); L-Arginyl-tRNA
C02165	Leukotriene B4; (6Z,8E,10E,14Z)-(5S,12R)-5,12-Dihydroxyeicosa-6,8,10,14-tetraenoate; (6Z,8E,10E,14Z)-(5S,12R)-5,12-Dihydroxyicosa-6,8,10,14-tetraenoate; LTB4
C02166	Leukotriene C4; LTC4
C02167	Maleylpyruvate; Maleylpyruvic acid; 3-Maleylpyruvate
C02170	Methylmalonate; Methylmalonic acid
C02172	N-Acetylisatin; 1-Acetylisatin
C02188	Protein lysine; Peptidyl-L-lysine; [Protein]-L-lysine
C02189	[Protein]-L-serine; Protein serine; Protein L-serine
C02191	Protoporphyrin; Protoporphyrin IX; Porphyrinogen IX
C02198	Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid; TXA2
C02199	UDP-L-rhamnose; UDP-rhamnose; UDP-beta-L-rhamnose
C02218	Dehydroalanine; 2-Aminoacrylate; 2-Aminoprop-2-enoate
C02220	2-Aminomuconate; 2-Aminomuconic acid; o-Aminomuconate
C02225	2-Methylcitrate; (2S,3S)-2-Methylcitrate; 2-Hydroxybutane-1,2,3-tricarboxylate; (2S,3S)-2-Hydroxybutane-1,2,3-tricarboxylate
C02226	2-Methylmaleate; Citraconate; Citraconic acid; Methylmaleic acid
C02232	3-Oxoadipyl-CoA; beta-Ketoadipyl-CoA
C02237	5-Oxo-D-proline; D-Pyroglutamic acid; D-5-Pyrrolidone-2-carboxylic acid
C02249	Arachidonyl-CoA; Arachidonoyl-CoA; (5Z,8Z,11Z,14Z)-Icosatetraenoyl-CoA
C02262	D-Galactosamine; D-Chondrosamine; 2-Amino-2-deoxy-D-galactose
C02265	D-Phenylalanine; D-alpha-Amino-beta-phenylpropionic acid
C02266	D-Xylonolactone; D-Xylono-1,5-lactone
C02273	Digalacturonate; Digalacturonic acid; alpha-D-Galacturonosyl-(1->4)-D-galacturonate
C02280	GDP-L-galactose
C02282	Glutaminyl-tRNA; L-Glutaminyl-tRNA(Gln); Glutaminyl-tRNA(Gln); Gln-tRNA(Gln)
C02291	L-Cystathionine
C02295	Methylitaconate; 2-Methylene-3-methylsuccinate
C02298	N-Acetylindoxyl; Acetylindoxyl
C02301	O-Acylcarnitine
C02305	Phosphocreatine; N-Phosphocreatine; Creatine phosphate
C02320	R-S-Glutathione
C02321	cis-1,4-Polyisoprene; Rubber particle; Rubber; Rubber (all-cis)
C02330	UDP-L-iduronate
C02331	Vinylacetyl-CoA; 3-Butenoyl-CoA; But-3-enoyl-CoA
C02335	beta-Alanyl-CoA
C02336	beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose
C02348	(R)(-)-Allantoin; (R)-Allantoin
C02350	(S)-Allantoin; (S)(+)-Allantoin
C02352	1,4-beta-D-Xylan; (1,4-beta-D-Xylan)n; (1,4-beta-D-Xylan)n+1
C02353	2',3'-Cyclic AMP
C02354	2',3'-Cyclic CMP
C02355	2',3'-Cyclic UMP
C02356	(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid
C02362	2-Oxosuccinamate; 2-Oxosuccinamic acid; gamma-Aminooxaloacetate; Oxaloacetamide
C02373	4-Methylpentanal; Isocaproaldehyde; Isohexanal
C02376	5-Methylcytosine
C02405	Formyl phosphate
C02411	Glutaconyl-1-CoA; 4-Carboxybut-2-enoyl-CoA; Glutaconyl-CoA; (E)-Glutaconyl-CoA; (2E)-4-Carboxybut-2-enoyl-CoA
C02412	Glycyl-tRNA(Gly)
C02426	L-Glyceraldehyde; L-2,3-Dihydroxypropionaldehyde; L-2,3-Dihydroxypropanal; L-Glycerose; L-Aldotriose
C02430	L-Methionyl-tRNA; L-Methionyl-tRNA(Met)
C02431	L-Rhamnofuranose
C02442	N-Methyltyramine
C02457	Propane-1,3-diol; 1,3-Propanediol; Trimethylene glycol
C02463	Precorrin 2; Dihydrosirohydrochlorin
C02465	Triiodothyronine; 3,3',5-Triiodo-L-thyronine; L-3,5,3'-Triiodothyronine; 3,5,3'-Triiodothyronine; Liothyronine; 3,5,3'-Triiodo-L-thyronine; T3
C02469	Uroporphyrin III
C02470	Xanthurenic acid; Xanthurenate
C02474	Arabinan; alpha-L-Arabinan; alpha-L-Araban
C02477	alpha-Tocopherol; Vitamin E
C02483	gamma-Tocopherol
C02488	(R)-2-Ethylmalate
C02492	1,4-beta-D-Mannan
C02504	alpha-Isopropylmalate; (2S)-2-Isopropylmalate; (2S)-2-Hydroxy-2-isopropylsuccinic acid; 2-Isopropylmalic acid; 3-Carboxy-3-hydroxy-4-methylpentanoate; 3-Carboxy-3-hydroxyisocaproate
C02505	2-Phenylacetamide; alpha-Phenylacetamide
C02514	3-Fumarylpyruvate
C02515	3-Iodo-L-tyrosine
C02527	Butanoylphosphate; Butanoyl phosphate
C02528	Chenodeoxycholate; Chenodeoxycholic acid; 3alpha,7alpha-Dihydroxy-5beta-cholanic acid; Chenodiol
C02530	Cholesterol ester
C02535	Dimethyl selenide
C02537	Estradiol-17alpha; 17alpha-Estradiol
C02538	Estrone 3-sulfate
C02553	L-Seryl-tRNA(Ser)
C02554	L-Valyl-tRNA(Val)
C02565	N-Methylhydantoin; N-Methylimidazolidine-2,4-dione
C02571	O-Acetylcarnitine; O-Acetyl-L-carnitine
C02587	Pyrimidodiazepine; 2-Amino-6-acetyl-3,7,8,9-tetrahydro-3H-pyrimido[4,5-b][1,4]diazepin-4-one
C02591	Sucrose 6'-phosphate; Sucrose 6F-phosphate
C02593	Tetradecanoyl-CoA; Myristoyl-CoA
C02612	(R)-2-Methylmalate; (R)-2-Methylmalic acid; (R)-Citramalate; (R)-Citramalic acid; (R)-alpha-Hydroxypyrotartaric acid; D-Citramalate; D-Citramalic acid; D-alpha-Hydroxypyrotartaric acid; (2R)-2-Hydroxy-2-methylbutanedioate
C02617	1,4-Naphthoquinone; 1,4-Naphthalenedione
C02627	2-Deoxystreptamine
C02630	2-Hydroxyglutarate; alpha-Hydroxyglutarate
C02631	2-Isopropylmaleate; beta-Isopropylmaleate
C02632	2-Methylpropanoate; 2-Methylpropanoic acid; Isobutyric acid; Isobutanoate; Dimethylacetic acid; Isobutyrate
C02637	3-Dehydroshikimate
C02642	3-Ureidopropionate; 3-Ureidopropanoate; beta-Ureidopropionic acid; N-Carbamoyl-beta-alanine
C02647	4-Guanidinobutanal
C02656	Pimelate; Pimelic acid; Heptanedioic acid; 6-Carboxyhexanoate
C02669	D-Galactono-1,5-lactone
C02670	D-Glucuronolactone; Glucurone; D-Glucurono-3,6-lactone; D-Glucurone
C02671	D-Glutamyl-peptide; gamma-D-Glutamyl-peptide
C02679	Dodecanoic acid; Dodecanoate; Dodecylcarboxylate; Lauric acid
C02686	Galactosylceramide; Galactocerebroside; Cerebroside; D-Galactosyl-N-acylsphingosine; D-Galactosylceramide
C02693	(Indol-3-yl)acetamide; Indole-3-acetamide
C02700	L-Formylkynurenine; N-Formyl-L-kynurenine; N-Formylkynurenine
C02702	L-Prolyl-tRNA(Pro)
C02713	N-Acetylmuramate; N-Acetylmuramic acid; N-Acetyl-D-muramoate
C02714	N-Acetylputrescine
C02718	N-Formiminoglycine; Formiminoglycine; N-Formimidoylglycine
C02727	N6-Acetyl-L-lysine
C02730	2-Succinylbenzoate; o-Succinylbenzoate; Succinylbenzoate
C02737	Phosphatidylserine; Phosphatidyl-L-serine; 1,2-Diacyl-sn-glycerol 3-phospho-L-serine; 3-O-sn-Phosphatidyl-L-serine; O3-Phosphatidyl-L-serine; L-1-Phosphatidylserine
C02739	1-(5-Phospho-D-ribosyl)-ATP; Phosphoribosyl-ATP; N1-(5-Phospho-D-ribosyl)-ATP; 1-(5-Phosphoribosyl)-ATP; 1-(5-Phospho-beta-D-ribosyl)-ATP
C02741	Phosphoribosyl-AMP; N1-(5-Phospho-D-ribosyl)-AMP; 1-(5-Phosphoribosyl)-AMP; 1-(5-Phospho-beta-D-ribosyl)-AMP
C02763	2-Hydroxy-3-phenylpropenoate; enol-Phenylpyruvate; enol-Phenylpyruvic acid; enol-alpha-Ketohydrocinnamic acid
C02765	(+)-(1S,2S)-Pseudoephedrine; (+)-Pseudoephedrine; Pseudoephedrine
C02773	1-Alkyl-sn-glycerol; 1-O-Alkyl-sn-glycerol
C02775	2,3-Dihydroxyindole; Dihydroxyindole
C02798	3-Phosphonopyruvate
C02800	4,5-Dioxopentanoate; 4-Oxoglutarate semialdehyde
C02823	Cyanocobalamin; Cyanocob(III)alamin; Dicopac; Vitamin B12 complex
C02835	Imidazole-4-acetate; Imidazoleacetic acid; 4-Imidazoleacetate
C02839	L-Tyrosyl-tRNA(Tyr)
C02843	Long-chain acyl-CoA
C02855	N-Phospho-D-lombricine
C02876	Propanoyl phosphate; Propionyl phosphate
C02880	Protochlorophyllide; Protochlorophyllide a
C02888	Sorbose 1-phosphate; L-Sorbose 1P; L-xylo-Hexulose 1-phosphate; L-Sorbose 1-phosphate
C02892	Thiamine acetic acid; Thiamin acetic acid
C02918	1-Methylnicotinamide; N(1)-Methylnicotinamide
C02930	2-Methyleneglutarate; alpha-Methylene glutarate
C02934	3-Dehydrosphinganine; 3-Dehydro-D-sphinganine
C02937	Indole-3-acetaldehyde oxime; Indole-3-acetaldoxime; 3-Indoleacetaldoxime; (E)-Indol-3-ylacetaldoxime
C02938	3-Indoleacetonitrile; Indol-3-ylacetonitrile; Indole-3-acetonitrile; (Indol-3-yl)acetonitrile
C02939	3-Methylbutanoyl-CoA; Isovaleryl-CoA
C02946	4-Acetamidobutanoate; N4-Acetylaminobutanoate
C02949	4-Hydroxybenzoyl-CoA
C02953	7,8-Dihydrobiopterin; L-erythro-7,8-Dihydrobiopterin
C02960	Ceramide 1-phosphate; Ceramide phosphate
C02962	D-Allose 6-phosphate
C02972	Dihydrolipoylprotein; [H protein]-dihydrolipoyllysine; [GCSH]-N6-[(R)-dihydrolipoyl]-L-lysine; [GcvH]-N6-[(R)-dihydrolipoyl]-L-lysine; [Glycine cleavage system H]-N6-[(R)-dihydrolipoyl]-L-lysine
C02977	GDP-6-deoxy-D-talose; GDP-6-deoxy-alpha-D-talose
C02984	L-Aspartyl-tRNA(Asp)
C02985	L-Fucose 1-phosphate; 6-Deoxy-L-galactose 1-phosphate; beta-L-Fucose 1-phosphate
C02987	L-Glutamyl-tRNA(Glu)
C02988	L-Histidyl-tRNA(His)
C02989	L-Methionine S-oxide
C02990	L-Palmitoylcarnitine
C02991	L-Rhamnono-1,4-lactone; L-Rhamno-1,4-lactone
C02992	L-Threonyl-tRNA(Thr)
C02995	Maltose 6'-phosphate
C03012	Naphthalene-1,2-diol; 1,2-Naphthalenediol; beta-Naphthohydroquinone; 1,2-Dihydroxynaphthalene
C03021	Protein asparagine; Protein L-asparagine
C03028	Thiamin triphosphate; Thiamine triphosphate
C03029	Transferrin[Fe(II)]2
C03033	beta-D-Glucuronoside; O-beta-D-Glucuronoside; Glucuronide; beta-D-Glucuronide
C03035	gamma-Linolenoyl-CoA
C03043	(R)-6-Hydroxynicotine
C03044	(R,R)-Butane-2,3-diol; (R,R)-2,3-Butanediol; (R,R)-2,3-Butylene glycol
C03046	(S,S)-Butane-2,3-diol; (S,S)-2,3-Butanediol; (S,S)-2,3-Butylene glycol; (2S,3S)-Butane-2,3-diol
C03056	2,6-Dihydroxypyridine
C03058	2-Hydroxyglutaryl-CoA
C03063	2-Oxohept-3-enedioate; 2-Oxohept-3-ene-1,7-dioate
C03064	3-Dehydro-L-threonate; 3-Dehydro-D-erythronate
C03069	3-Methylcrotonyl-CoA; 3-Methylbut-2-enoyl-CoA; 3-Methylcrotonoyl-CoA; Dimethylacryloyl-CoA
C03077	4-Chlorophenylacetate; 4-Chlorophenylacetic acid
C03078	4-Guanidinobutanamide
C03082	4-Phospho-L-aspartate; L-4-Aspartyl phosphate
C03087	5-Acetamidopentanoate
C03089	5-Methylthio-D-ribose; S-Methyl-5-thio-D-ribose
C03090	5-Phosphoribosylamine; 5-Phospho-beta-D-ribosylamine; 5-Phospho-D-ribosylamine; 5-Phosphoribosyl-1-amine
C03114	Dimethylbenzimidazole; 5,6-Dimethylbenzimidazole
C03117	GDP-6-deoxy-D-mannose; GDP-D-rhamnose; GDP-6-deoxy-alpha-D-mannose; GDP-alpha-D-rhamnose
C03125	L-Cysteinyl-tRNA(Cys)
C03127	L-Isoleucyl-tRNA(Ile)
C03145	N-Formylmethionine; N-Formyl-L-methionine
